"region","dödsorsak","ålder","kön","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996"
"2262 Timrå","självmord","0 år","män",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","0 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","1-14 år","män",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","1-14 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","15-24 år","män",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0
"2262 Timrå","självmord","15-24 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","25-44 år","män",0,0,1,1,0,0,2,0,4,0,1,1,0,2,3,0,0,1,0,1,1,1,1,0,1,2,1,0
"2262 Timrå","självmord","25-44 år","kvinnor",0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"2262 Timrå","självmord","45-54 år","män",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
"2262 Timrå","självmord","45-54 år","kvinnor",0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","55-64 år","män",0,2,2,3,2,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0
"2262 Timrå","självmord","55-64 år","kvinnor",0,0,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","självmord","65-74 år","män",1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"2262 Timrå","självmord","65-74 år","kvinnor",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2262 Timrå","självmord","75+ år","män",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
"2262 Timrå","självmord","75+ år","kvinnor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","0 år","män",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","0 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","1-14 år","män",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","1-14 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","15-24 år","män",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","15-24 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","25-44 år","män",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","25-44 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","45-54 år","män",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","45-54 år","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","55-64 år","män",0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","55-64 år","kvinnor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2262 Timrå","skada genom ovisst uppsåt","65-74 år","män",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"2262 Timrå","skada genom ovisst uppsåt","65-74 år","kvinnor",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
